age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
"[0,50)",Private,HS-grad,Married-civ-spouse,White-collar,Husband,Male,America,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Male,USA,<=50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,In-family,Female,United-States,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
Any,Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Never-married,White-collar,Any,Female,North-America,<=50K
"[0,50)",Private,Any,Never-married,Blue-collar,Own-child,Any,America,<=50K
"[0,50)",Private,Post-secondary,Never-married,Any,Not-in-family,Male,America,<=50K
Any,Any,Any,Any,Any,In-family,Male,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Male,United-States,<=50K
Any,Any,Any,Any,Any,In-family,Male,United-States,>50K
Any,Any,Any,Never-married,White-collar,Any,Female,North-America,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,In-family,Female,United-States,>50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Any,Husband,Male,North-America,>50K
Any,Any,Post-secondary,Any,Any,Any,Male,United-States,>50K
Any,Any,Secondary,Partner-absent,Any,Any,Any,United-States,>50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Any,Secondary,Partner-absent,Any,Any,Any,United-States,<=50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Private,Any,Partner-present,Any,Husband,Male,United-States,<=50K
Any,Private,Post-secondary,Any,White-collar,Any,Female,United-States,>50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
Any,Self-employed,Any,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Own-child,Male,United-States,>50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,In-family,Female,United-States,>50K
"[0,50)",Private,Secondary,Any,Blue-collar,Any,Male,United-States,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,>50K
"[50,100)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Private,Any,Married,Any,Any,Any,United-States,<=50K
"[30,40)",Private,University,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Any,Male,America,<=50K
Any,Any,Without-Post-Secondary,Married-civ-spouse,Any,Husband,Male,America,<=50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Any,White-collar,Not-in-family,Female,United-States,<=50K
Any,Any,Any,Never-married,Any,Any,Male,United-States,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,In-family,Female,United-States,<=50K
"[0,50)",Self-employed,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[50,60)",Private,Senior-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Private,Secondary,Any,Blue-collar,Any,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,>50K
"[0,50)",Private,Any,Never-married,Blue-collar,Own-child,Male,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Not-in-family,Any,United-States,<=50K
Any,Any,Any,Never-married,Any,Any,Male,America,<=50K
"[0,50)",Government,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Self-employed,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,White-collar,Not-in-family,Female,United-States,<=50K
Any,Private,Any,Any,Any,Any,Female,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Married,Any,Any,Any,America,<=50K
Any,Any,Any,Married,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Any,White-collar,In-family,Male,United-States,<=50K
Any,Self-employed,Any,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,Secondary,Any,Any,In-family,Any,America,<=50K
Any,Government,Any,Married-civ-spouse,White-collar,Husband,Male,America,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,<=50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,North-America,>50K
"[0,50)",Private,Any,Never-married,Any,Not-in-family,Any,United-States,<=50K
"[0,50)",Private,Any,Any,Any,Any,Female,America,<=50K
Any,Any,Secondary,Partner-absent,Any,Any,Any,United-States,<=50K
"[0,50)",Any,Any,Married-civ-spouse,Any,In-family,Any,United-States,>50K
"[0,50)",Private,Senior-Secondary,Any,Any,Any,Female,America,<=50K
"[0,50)",Private,Post-secondary,Never-married,Any,Not-in-family,Male,America,<=50K
Any,Any,Any,Never-married,Any,Any,Male,United-States,<=50K
"[0,50)",Self-employed,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Private,Any,Married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
"[0,50)",Government,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
"[0,50)",Private,Senior-Secondary,Never-married,Blue-collar,Not-in-family,Any,United-States,<=50K
"[40,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,North-America,<=50K
"[0,50)",Private,Any,Any,Any,Any,Female,America,<=50K
Any,Any,Any,Never-married,Any,Any,Male,America,<=50K
Any,Private,Any,Married,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,Any,<=50K
Any,Any,Any,Any,Any,Not-in-family,Female,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,White-collar,Not-in-family,Female,United-States,<=50K
"[0,50)",Any,Any,Married-civ-spouse,Any,In-family,Any,United-States,>50K
"[0,50)",Private,Some-college,Never-married,White-collar,Own-child,Female,United-States,<=50K
Any,Any,Secondary,Partner-absent,Any,Any,Any,United-States,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Own-child,Male,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,North-America,>50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Private,Post-secondary,Any,White-collar,Any,Female,United-States,>50K
"[0,50)",Private,Any,Never-married,Blue-collar,Own-child,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Any,Secondary,Partner-absent,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Any,Any,Other,Own-child,Any,United-States,<=50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Post-secondary,Never-married,Any,Not-in-family,Male,America,<=50K
"[50,60)",Private,Senior-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Self-employed,Any,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[0,50)",Private,Any,Any,Blue-collar,In-family,Male,United-States,<=50K
"[0,50)",Private,Without-Post-Secondary,Never-married,Any,Any,Any,Any,<=50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
Any,Private,Any,Partner-present,Any,Husband,Male,United-States,<=50K
Any,Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Private,Any,Any,Any,Any,Female,United-States,<=50K
"[0,50)",Private,Any,Never-married,White-collar,Own-child,Female,United-States,<=50K
"[0,50)",Private,Any,Any,Other,Own-child,Any,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
Any,Any,Any,Never-married,White-collar,Any,Female,North-America,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Male,USA,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,>50K
Any,Any,Any,Any,White-collar,Not-in-family,Female,United-States,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,America,<=50K
Any,Private,Any,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,In-family,Male,United-States,>50K
Any,Private,Any,Partner-present,Any,Husband,Male,United-States,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
"[0,50)",Private,Secondary,Never-married,Blue-collar,Own-child,Male,America,<=50K
Any,Any,Without-Post-Secondary,Married-civ-spouse,Any,Husband,Male,America,<=50K
"[0,50)",Any,Without-Post-Secondary,Any,Any,Any,Male,America,<=50K
Any,Any,Secondary,Partner-absent,Any,Any,Any,United-States,<=50K
Any,Any,Post-secondary,Married,Any,Any,Male,North-America,<=50K
"[0,50)",Private,Any,Never-married,Any,Not-in-family,Any,United-States,<=50K
Any,Any,Any,Never-married,White-collar,Any,Female,North-America,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,America,<=50K
Any,Any,Any,Never-married,Any,Any,Male,America,<=50K
Any,Private,Any,Any,Any,Any,Male,Any,<=50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,>50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Own-child,Male,United-States,<=50K
"[0,50)",Any,Any,Any,White-collar,In-family,Male,United-States,<=50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Any,Husband,Male,North-America,<=50K
"[0,50)",Private,Any,Never-married,Blue-collar,Own-child,Male,United-States,<=50K
Any,Any,Any,Any,White-collar,Not-in-family,Female,United-States,<=50K
"[0,50)",Private,Secondary,Never-married,Blue-collar,Own-child,Male,America,<=50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,United-States,<=50K
"[30,40)",Private,University,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Male,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
"[50,60)",Private,Senior-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,Any,Any,White-collar,In-family,Male,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Not-in-family,Any,United-States,>50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,Any,<=50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,United-States,>50K
Any,Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,Any,Any,Any,Any,Female,America,<=50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Never-married,White-collar,Any,Female,North-America,<=50K
"[0,50)",Private,Senior-Secondary,Never-married,Blue-collar,Not-in-family,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Any,Post-secondary,Married,Any,Any,Male,North-America,<=50K
Any,Any,Post-secondary,Partner-absent,White-collar,Any,Female,United-States,<=50K
Any,Private,Any,Any,Any,Any,Female,United-States,<=50K
Any,Any,Without-Post-Secondary,Married-civ-spouse,Any,Husband,Male,America,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
Any,Private,Any,Married-civ-spouse,Any,Wife,Female,United-States,>50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Private,Any,Married-civ-spouse,Any,Wife,Female,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Male,United-States,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Own-child,Male,United-States,<=50K
"[0,50)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,America,<=50K
Any,Any,Any,Married-civ-spouse,White-collar,Husband,Male,Any,>50K
"[0,50)",Self-employed,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Any,Never-married,Any,Not-in-family,Female,Any,<=50K
"[0,50)",Private,Any,Any,Any,Any,Female,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Private,HS-grad,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Male,America,<=50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
Any,Self-employed,Any,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Any,Secondary,Any,Any,In-family,Any,America,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,>50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
"[50,100)",Private,Without-Post-Secondary,Married-civ-spouse,Any,Husband,Male,North-America,>50K
Any,Government,Any,Married-civ-spouse,White-collar,Husband,Male,America,>50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
Any,Any,Any,Married,Any,Any,Any,America,>50K
"[0,50)",Private,Any,Never-married,Any,Not-in-family,Female,Any,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Married-civ-spouse,White-collar,Husband,Male,Any,<=50K
"[0,50)",Government,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,>50K
"[30,40)",Private,University,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Any,Any,Blue-collar,In-family,Male,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,United-States,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
Any,Any,Any,Married,Any,Any,Any,America,<=50K
Any,Self-employed,Any,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Male,USA,<=50K
Any,Private,Any,Partner-present,Any,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
Any,Private,Any,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Male,America,<=50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[50,60)",Private,Senior-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Female,North-America,<=50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,United-States,>50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,United-States,<=50K
"[0,50)",Self-employed,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Any,Never-married,Any,Not-in-family,Any,United-States,<=50K
"[0,50)",Any,Secondary,Any,Any,In-family,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Any,Other,Own-child,Any,United-States,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
Any,Self-employed,Any,Married-civ-spouse,Any,Husband,Male,United-States,<=50K
"[0,50)",Private,Any,Never-married,Blue-collar,Own-child,Male,United-States,<=50K
Any,Private,Any,Never-married,Any,Not-in-family,Female,America,<=50K
Any,Private,Any,Never-married,Any,Not-in-family,Female,America,<=50K
"[0,50)",Any,Post-secondary,Never-married,White-collar,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Male,America,<=50K
Any,Any,Any,Married,Any,Any,Any,America,>50K
Any,Private,Any,Any,Any,Any,Male,Any,>50K
Any,Any,Post-secondary,Married,Any,Any,Male,North-America,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,United-States,>50K
Any,Self-employed,Any,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Male,USA,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Any,Never-married,Blue-collar,Own-child,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Post-secondary,Married-civ-spouse,White-collar,In-family,Female,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Not-in-family,Female,Any,<=50K
Any,Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[0,50)",Private,Any,Never-married,Any,Any,Male,America,<=50K
Any,Private,Any,Partner-present,Any,Husband,Male,United-States,<=50K
"[0,50)",Any,Post-secondary,Never-married,Any,Own-child,Any,America,<=50K
"[0,50)",Private,Any,Never-married,White-collar,Own-child,Female,United-States,<=50K
Any,Self-employed,Any,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Private,Any,Any,Any,Any,Female,United-States,<=50K
"[50,100)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Senior-Secondary,Never-married,Blue-collar,Not-in-family,Any,United-States,<=50K
"[0,50)",Private,Without-Post-Secondary,Married-civ-spouse,Any,Husband,Male,America,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Government,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Secondary,Never-married,Blue-collar,Own-child,Male,America,<=50K
Any,Private,Any,Never-married,Any,Not-in-family,Female,America,>50K
"[0,50)",Private,Without-Post-Secondary,Never-married,Any,Any,Any,Any,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Own-child,Male,United-States,<=50K
"[30,40)",Private,Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[50,100)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Any,Never-married,Any,Any,Male,America,<=50K
"[0,50)",Any,Secondary,Any,Any,In-family,Any,America,<=50K
Any,Private,Any,Any,Other-service,Any,Female,America,<=50K
Any,Private,Any,Never-married,Any,Not-in-family,Female,America,<=50K
"[0,50)",Any,Any,Married-civ-spouse,Any,In-family,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Male,United-States,<=50K
Any,Any,Any,Any,Any,Any,Male,America,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,America,<=50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,Any,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,>50K
"[0,50)",Private,Senior-Secondary,Never-married,Blue-collar,Not-in-family,Any,United-States,<=50K
"[0,50)",Government,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Private,HS-grad,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,Any,>50K
Any,Self-employed,Any,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,<=50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
"[30,40)",Private,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,Husband,Male,Any,<=50K
Any,Any,Any,Partner-absent,Any,Any,Female,United-States,<=50K
"[0,50)",Government,Post-secondary,Any,Any,Any,Any,Any,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[40,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,United-States,>50K
Any,Any,Without-Post-Secondary,Married-civ-spouse,Any,Husband,Male,America,<=50K
Any,Any,Any,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
Any,Private,Any,Never-married,Any,Not-in-family,Female,America,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Any,Husband,Male,Any,>50K
"[0,50)",Self-employed,Post-secondary,Married-civ-spouse,White-collar,Husband,Male,United-States,>50K
"[0,50)",Any,Any,Married-civ-spouse,Any,In-family,Any,United-States,>50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,>50K
Any,Any,Any,Married-civ-spouse,Blue-collar,Husband,Male,United-States,>50K
"[50,60)",Private,Senior-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
"[0,50)",Any,Any,Any,White-collar,In-family,Male,United-States,>50K
Any,Any,Any,Any,Any,Any,Any,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
"[0,50)",Any,Any,Never-married,Any,Any,Any,United-States,<=50K
"[0,50)",Private,Post-secondary,Married-civ-spouse,Blue-collar,Husband,Male,America,<=50K
Any,Any,Post-secondary,Any,Any,Any,Any,United-States,>50K
"[0,50)",Government,Post-secondary,Any,Any,Any,Any,Any,<=50K
"[0,50)",Private,Senior-Secondary,Never-married,Any,Any,Female,United-States,<=50K
"[0,50)",Any,Any,Any,Any,Any,Any,Any,>50K
"[0,50)",Private,Any,Never-married,White-collar,Own-child,Female,United-States,<=50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Male,USA,<=50K
"[0,50)",Private,Any,Any,Other,Own-child,Any,United-States,<=50K
Any,Any,Any,Never-married,Any,Any,Male,United-States,>50K
"[20,30)",Private,Post-secondary,Never-married,White-collar,Not-in-family,Male,USA,<=50K
"[50,60)",Private,Senior-Secondary,Married-civ-spouse,Blue-collar,Husband,Male,United-States,<=50K
Any,Private,Any,Married,Any,Any,Any,United-States,<=50K
Any,Any,Any,Married-civ-spouse,Any,In-family,Male,America,<=50K
Any,Any,Any,Any,Any,Any,Any,Any,>50K
Any,Any,Any,Any,Any,Any,Any,Any,<=50K
